Date,Open,High,Low,Close,Volume
2020-01-02,71.34403937841115,72.39407027941263,71.09116882440814,72.3338623046875,135480400
2020-01-03,71.56319785492231,72.3892495107853,71.40665858931894,71.63063049316406,146322800
2020-01-06,70.75403593983464,72.23996527669502,70.50356859981315,72.20143127441406,118387200
2020-01-07,72.21104883104543,72.46633010238772,71.64268897397623,71.86184692382812,108872000
2020-01-08,71.56562867701548,73.31888511458335,71.56562867701548,73.0178451538086,132079200
2020-01-09,73.99320996049889,74.76146451044018,73.74275001069596,74.56880187988281,170108400
2020-01-10,74.8024026801614,75.30092656417412,74.23644614635045,74.73737335205078,140644800
2020-01-13,75.05287832688332,76.36059415429726,74.93486566437117,76.33409881591797,121532000
2020-01-14,76.27147084582813,76.48099343710987,75.18050255877637,75.3033218383789,161954400
2020-01-15,75.10344798902688,75.98248317068368,74.54953007278792,74.98062133789062,121923600
2020-01-16,75.52248959606675,76.03064882750155,75.1612416745226,75.91986083984375,108829200
2020-01-17,76.16793161276121,76.76278692814752,75.86207762818306,76.76038360595703,137816400
2020-01-21,76.38949561952354,76.83021490503033,76.10290497799846,76.24018096923828,110843200
2020-01-22,76.72421683459743,77.06379066619063,76.41836299389982,76.51229095458984,101832400
2020-01-23,76.56529382668359,76.96025438766408,76.01860061750638,76.88078308105469,104472000
2020-01-24,77.1264324079885,77.86819158420508,76.46895853504518,76.65921783447266,146537600
2020-01-27,74.67237218746828,75.08419286532549,73.4248641436704,74.4050521850586,161940000
2020-01-28,75.28408422213496,76.68090687398296,75.18534222076916,76.50991821289062,162234000
2020-01-29,78.13791500924663,78.95674202148273,77.39855929233421,78.11141967773438,216229200
2020-01-30,77.19626294921763,78.05121329496869,76.76517176985938,77.99822998046875,126743200
2020-01-31,77.29020649112265,77.71166246110458,74.24609404973549,74.53990936279297,199588400
2020-02-03,73.28514366287956,75.498389394716,72.78421654858387,74.33517456054688,173788400
2020-02-04,75.93672133535755,76.97952779146334,75.53212542449515,76.78926849365234,136616400
2020-02-05,77.91393700101683,78.21257356762338,76.81334075627086,77.41542053222656,118826800
2020-02-06,77.68515330009288,78.32335641079244,77.12883215929374,78.3209457397461,105425600
2020-02-07,77.82124622907054,78.06989154294402,76.76631409771366,77.25636291503906,117684000
2020-02-10,75.84414097834794,77.62328338623047,75.76448107418051,77.62328338623047,109348800
2020-02-11,78.11816550122239,78.19058359645562,76.93769897957516,77.15496063232422,94323200
2020-02-12,77.60399867366895,78.99206907115294,77.60399867366895,78.98724365234375,113730400
2020-02-13,78.26061390209061,78.75066279160559,78.0578358133656,78.42476654052734,94747600
2020-02-14,78.39339174368679,78.69273717542127,77.9371428343582,78.444091796875,80113600
2020-02-18,76.12900862033511,77.18877358272158,75.94795598487916,77.00772094726562,152531200
2020-02-19,77.24913667748609,78.35235267875386,77.24913667748609,78.12301635742188,93984000
2020-02-20,77.88401513292217,78.37164756799683,76.81700838375629,77.32154083251953,100566000
2020-02-21,76.91598466630131,77.35775721221363,74.95578935685651,75.57136535644531,129554000
2020-02-24,71.75960997813098,73.43011814732492,69.8211400810818,71.98169708251953,222195200
2020-02-25,72.65037140517215,73.03178561562022,69.07277049917455,69.54350280761719,230673600
2020-02-26,69.16935530367469,71.90928692764982,69.16211349223191,70.64674377441406,198054800
2020-02-27,67.85852928583456,69.04140503149553,65.89350114490772,66.0286865234375,320605600
2020-02-28,62.10346116385855,67.20914325476264,61.88860853206062,65.99005126953125,426510000
2020-03-02,68.14337454443714,72.76866613954134,67.04257525684778,72.13377380371094,341397200
2020-03-03,73.30702283331924,73.3866827671886,68.99313499680584,69.84288024902344,319475600
2020-03-04,71.56164999828624,73.24181619852034,70.76260504877715,73.08248901367188,219178400
2020-03-05,71.33956494467967,72.31242082695749,70.34740002247567,70.71192169189453,187572800
2020-03-06,68.07578380592835,70.20496434412061,67.88990577178768,69.7728500366211,226176800
2020-03-09,63.670171942415024,67.13189718407227,63.489119320777824,64.2543716430664,286744800
2020-03-10,66.90257561810807,69.14762542571471,65.0268655374001,68.882080078125,285290000
2020-03-11,66.96291749628936,67.88748961967876,65.627949126833,66.48976135253906,255598800
2020-03-12,61.7848024771312,65.1789345537906,59.868058404963215,59.923580169677734,418474000
2020-03-13,63.94539557678096,67.57369096094727,61.06303266081341,67.10295104980469,370732000
2020-03-16,58.40757727472599,62.5428168089279,57.93684117686896,58.47034454345703,322423600
2020-03-17,59.74977632698614,62.1879493594709,57.550590391518064,61.04128646850586,324056000
2020-03-18,57.88131450093201,60.350871115595204,57.24159305699179,59.5469970703125,300233600
2020-03-19,59.72081881991735,61.03646731467495,58.56691024737155,59.090755462646484,271857200
2020-03-20,59.67010772190427,60.79263606329375,55.03999095282429,55.339332580566406,401693200
2020-03-23,55.05930867623348,55.160697700443244,51.32479637531141,54.163700103759766,336752800
2020-03-24,57.05813231967632,59.79323446043245,56.56084169108887,59.59769821166992,287531200
2020-03-25,60.53193331315153,62.34245973328567,58.97488132854125,59.26939392089844,303602000
2020-03-26,59.51079529315195,62.44625922344338,59.472169846872056,62.38832473754883,252087200
2020-03-27,61.01473571142301,61.767913466106,59.638736473627105,59.80530548095703,204216800
2020-03-30,60.529509863529455,61.683418202528024,60.206026401052306,61.512020111083984,167976400
2020-03-31,61.70273919270683,63.366005560924876,60.833685075362965,61.386497497558594,197002000
2020-04-01,59.50596558883749,60.04188167908633,57.726822887688364,58.15652084350586,176218400
2020-04-02,58.018915768998035,59.18006600388776,57.188487147319506,59.126956939697266,165934000
2020-04-03,58.6127685713981,59.31283722451452,57.68819275537644,58.277217864990234,129880000
2020-04-06,60.568124396222636,63.51565847082729,60.20119380275697,63.36116409301758,201820400
2020-04-07,65.3720644929947,65.58933353543772,62.52350615550967,62.6273078918457,202887200
2020-04-08,63.42635444288139,64.54405384793799,63.06184016051964,64.23023223876953,168895200
2020-04-09,64.86511973614601,65.19584133375365,63.899505790640596,64.69371795654297,161834800
2020-04-13,64.77096719479518,66.07213548949194,64.17228391165321,65.9635009765625,131022800
2020-04-14,67.59297682109842,69.58455560243435,67.12223707141726,69.29486846923828,194994800
2020-04-15,68.17235045630129,69.12106449233013,67.7450688913163,68.66239929199219,131154400
2020-04-16,69.37453102131897,69.57248363661981,68.16027185080422,69.20796203613281,157125200
2020-04-17,68.72516946310567,69.27074378183441,66.83497575491855,68.26891326904297,215250000
2020-04-20,67.09810395402242,67.99853426971617,66.83255863780644,66.85186767578125,130015200
2020-04-21,66.69494844279068,66.92911009651182,64.07571939662287,64.78544616699219,180991600
2020-04-22,66.05040482183006,67.08602784822331,65.71003238672124,66.65150451660156,116862400
2020-04-23,66.59598178954948,68.01543553598502,66.35457829164004,66.39320373535156,124814400
2020-04-24,66.91704122865521,68.31959472449138,66.86875759043463,68.3099365234375,126161200
2020-04-27,68.02749402346188,68.68894453234053,67.58090350335026,68.35822296142578,117087600
2020-04-28,68.81930583953189,69.00035846269303,67.15845596472252,67.25018310546875,112004800
2020-04-29,68.73482721743544,69.92736120107678,68.53204914375017,69.45903778076172,137280800
2020-04-30,69.99735834734561,71.10057413486881,69.60870223992275,70.92434692382812,183064000
2020-05-01,69.1017567929507,72.17965163700352,69.00519685948858,69.78251647949219,240616800
2020-05-04,69.80666911806027,70.89781053260225,69.11866751411011,70.76986694335938,133568000
2020-05-05,71.2285148811078,72.66245223551824,71.08367131021836,71.83202362060547,147751200
2020-05-06,72.53210878963873,73.20321036598678,72.14827802802382,72.57315063476562,142333600
2020-05-07,73.19837114485792,73.66911092684012,72.89661676334377,73.32389831542969,115215200
2020-05-08,73.98230402182824,75.12239040799929,73.65552559886389,75.06913757324219,133838400
2020-05-11,74.57776663572473,76.74417245398942,74.36959376483475,76.25038146972656,145946400
2020-05-12,76.93296900656856,77.38319884408511,75.25793879153254,75.37896728515625,162301200
2020-05-13,75.55808267285332,76.4779036027934,73.39409274246334,74.46882629394531,200622400
2020-05-14,73.7087465481305,74.98680664243471,72.98741435064062,74.9262924194336,158929200
2020-05-15,72.70181680027588,74.52934407916516,72.66792527667609,74.48335266113281,166348400
2020-05-18,75.80498930633232,76.61103581678174,75.11512542110488,76.23826599121094,135178400
2020-05-19,76.25521336264156,77.0999898949941,75.76626090152799,75.7977294921875,101729600
2020-05-20,76.65460086911052,77.34204178986873,76.61587086677298,77.2718505859375,111504800
